Model,Accuracy,Precision,Recall,ROC-AUC
Logistic Regression,0.9882728836768372,0.11796246648793565,0.8979591836734694,0.9431938574529417
Random Forest,0.999420666409185,0.8350515463917526,0.826530612244898,0.913124619572083
